Chrono;Fourn.;Article;UC;Prix brut;Validit
77;4010CHANE;A1391;U;Depuis le 01/01/2022, 17,7400 EUR/PAK;E
77;4010CHANE;A2166;U;Depuis le 01/01/2022, 14,6400 EUR/U;E
53;4010CHAR;A0825;Kg;Depuis le 04/10/2021, 5,6700 EUR/Kg;E
53;4010CHAR;A0279;Kg;Depuis le 24/01/2022, 7,1700 EUR/Kg;E
53;4010CHAR;A0826;Kg;Depuis le 04/10/2021, 6,0700 EUR/Kg;E
53;4010CHAR;A0827;Kg;Depuis le 04/10/2021, 7,0700 EUR/Kg;E
53;4010CHAR;A0828;Kg;Depuis le 04/10/2021, 5,2700 EUR/Kg;E
53;4010CHAR;A0829;Kg;Depuis le 04/10/2021, 6,6400 EUR/Kg;E
53;4010CHAR;A0830;Kg;Depuis le 04/10/2021, 3,7700 EUR/Kg;E
53;4010CHAR;A0831;Kg;Depuis le 04/10/2021, 4,9700 EUR/Kg;E
78;4010CHARCU;A0279;Kg;Depuis le 29/06/2021, 5,5000 EUR/Kg;E
112;4010CHR;A1519;U;Depuis le 22/07/2021, 0,4416 EUR/U;E
112;4010CHR;A2531;Kg;Depuis le 28/01/2022, 8,7500 EUR/Kg;E
112;4010CHR;A2461;U;Depuis le 13/01/2022, 0,3987 EUR/U;E
112;4010CHR;A0324;L;Depuis le 13/01/2022, 1,2800 EUR/U;E
112;4010CHR;A1587;U;Depuis le 26/08/2021, 0,2900 EUR/U;E
112;4010CHR;A1588;U;Depuis le 26/08/2021, 0,3900 EUR/U;E
112;4010CHR;A2466;Kg;Depuis le 13/01/2022, 4,0480 EUR/Kg;E
112;4010CHR;A1524;Kg;Depuis le 22/07/2021, 3,4000 EUR/POT;E
112;4010CHR;A0325;L;Depuis le 30/08/2021, 34,7500 EUR/U;E
112;4010CHR;A1522;L;Depuis le 22/07/2021, 4,4500 EUR/L;E
112;4010CHR;A1518;L;Depuis le 22/07/2021, 41,0000 EUR/U;E
112;4010CHR;A2467;L;Depuis le 13/01/2022, 4,1900 EUR/PAK;E
112;4010CHR;A1521;U;Depuis le 22/07/2021, 3,2999 EUR/PAK;E
